Entrez_ID_M1_markers	Entrez_ID_M2_markers
941	942
942	1401
968	3108
1439	3108
3108	3109
3109	3109
3111	3111
3112	3111
3113	3112
3115	3112
3117	3113
3118	3113
3119	3115
3120	3115
3122	3117
3123	3117
3125	3118
3126	3118
3127	3119
3458	3120
3553	3122
3554	3123
3569	3125
3593	3126
4843	3127
6347	3552
6348	3553
6351	3554
6352	3557
6355	3565
6356	3569
7097	3586
7099	3586
7124	3592
7850	3593
9021	3596
51561	3627
	3976
	4360
	6346
	6352
	6361
	6367
	6369
	7040
	7040
	7040
	7052
	7096
	7124
	7422
	7423
	7850
	8771
	9332
	51311
	58191
	131450
	729230
