Index	Gene	Type
1	TNFSF13B	Cytokine
2	BLIMP1	Cytokine
3	PRDM1	Cytokine
4	CCL5	Cytokine
5	CCL15	Cytokine
6	CCL17	Cytokine
7	CCL19	Cytokine
8	CCL20	Cytokine
9	CCL22	Cytokine
10	CCL23	Cytokine
11	CCL28	Cytokine
12	CXCL1	Cytokine
13	CXCL11	Cytokine
14	CXCL10	Cytokine
15	CXCL3	Cytokine
16	CXCL1	Cytokine
17	GRO-beta	Cytokine
18	GRO-gamma	Cytokine
19	CXCL1	Cytokine
20	ICOS	Cytokine
21	IFNG	Cytokine
22	IL1A	Cytokine
23	IL1B	Cytokine
24	IL1RN	Cytokine
25	IL2	Cytokine
26	IL6	Cytokine
27	IL8	Cytokine
28	IL9	Cytokine
29	IL10	Cytokine
30	IL11	Cytokine
31	IL12B	Cytokine
32	IL12A	Cytokine
33	IL13	Cytokine
34	IL15	Cytokine
35	IL17	Cytokine
36	IL23A	Cytokine
37	IL27	Cytokine
38	EBI3	Cytokine
39	IFNB1	Cytokine
40		Cytokine
41	CXCL5	Cytokine
42	KC	Cytokine
43	Iigp1	Cytokine
44	CXCL5	Cytokine
45	CXCL6	Cytokine
46	LTA	Cytokine
47	LTB	Cytokine
48	CCL2	Cytokine
49		Cytokine
50		Cytokine
51	CXCL9	Cytokine
52	CCL3	Cytokine
53	CCL4	Cytokine
54	CCL4	Cytokine
55	CXCL3	Cytokine
56	CCL20	Cytokine
57	CXCL10	Cytokine
58	CXCL5	Cytokine
59	CCL5	Cytokine
60	CCL1	Cytokine
61	TNF	Cytokine
62	LTA	Cytokine
63	TNFSF10	Cytokine
64	TFF3	Cytokine
65	TNFSF15	Cytokine
66	Human Gene Name	
67	CD80	Immunoreceptor
68	BLR1	Immunoreceptor
69	CCR5	Immunoreceptor
70	CCR7	Immunoreceptor
71	IL8RA	Immunoreceptor
72	IL8RB	Immunoreceptor
73	TNFRSF9	Immunoreceptor
74	CD40LG	Immunoreceptor
75	CD3G	Immunoreceptor
76	CR2	Immunoreceptor
77	CD38	Immunoreceptor
78	CD40	Immunoreceptor
79	CD48	Immunoreceptor
80	CD83	Immunoreceptor
81	CD86	Immunoreceptor
82	SLC3A2	Immunoreceptor
83	TNFRSF4	Immunoreceptor
84	F11R	Immunoreceptor
85	FCGRT	Immunoreceptor
86	FCER2	Immunoreceptor
87	HLA-G	Immunoreceptor
88	ICOS	Immunoreceptor
89	IL2RA	Immunoreceptor
90	IGHG2	Immunoreceptor
91	IGHG1	Immunoreceptor
92	IGHG4	Immunoreceptor
93	IGHE	Immunoreceptor
94	IGKC	Immunoreceptor
95		Immunoreceptor
96	BDKRB1	Immunoreceptor
97		Immunoreceptor
98	HLA-B	Immunoreceptor
99	B2M	Immunoreceptor
100	NOD2	Immunoreceptor
101	pIgR	Immunoreceptor
102	PGLYRP1	Immunoreceptor
103	TCRB	Immunoreceptor
104	CD3G	Immunoreceptor
105	TLR2	Immunoreceptor
106	TLR9	Immunoreceptor
107	TNFRSF1B	Immunoreceptor
108	TREM1	Immunoreceptor
109	Human Gene Name	
110	CFB	AntigenPresent
111	C3	AntigenPresent
112	CR2	AntigenPresent
113	PSMB9	AntigenPresent
114	TAP1	AntigenPresent
115	TAPBP	AntigenPresent
116	Human Gene Name	
117	CD44	CellAdhesionMolecule
118	CD209	CellAdhesionMolecule
119	SELE	CellAdhesionMolecule
120	ENG	CellAdhesionMolecule
121	FN1	CellAdhesionMolecule
122	CD54	CellAdhesionMolecule
123	MADCAM1	CellAdhesionMolecule
124	NCAM	CellAdhesionMolecule
125	SELP	CellAdhesionMolecule
126	TNC	CellAdhesionMolecule
127	VCAM1	CellAdhesionMolecule
128	AGT	AcutePhaseProtein
129	DEFB2	AcutePhaseProtein
130	C4BPA	AcutePhaseProtein
131	CFB	AcutePhaseProtein
132	C4A	AcutePhaseProtein
133	CRP	AcutePhaseProtein
134	HAMP	AcutePhaseProtein
135	LBP	AcutePhaseProtein
136	PTX3	AcutePhaseProtein
137	SAA1	AcutePhaseProtein
138	SAA2	AcutePhaseProtein
139	SAA3	AcutePhaseProtein
140	F3	AcutePhaseProtein
141	PLAU	AcutePhaseProtein
142	Human Gene Name	
143	CYP2E1	Stress Response Genes
144	CYP2C11	Stress Response Genes
145	CYP7B1	Stress Response Genes
146	PTGS2	Stress Response Genes
147	FTH1	Stress Response Genes
148	GCLC	Stress Response Genes
149	GCLM	Stress Response Genes
150	HSP90AA1	Stress Response Genes
151	ALOX5	Stress Response Genes
152	ALOX12	Stress Response Genes
153	NOS2A	Stress Response Genes
154	MAP4K1	Stress Response Genes
155	SENP2	Stress Response Genes
156	SOD1	Stress Response Genes
157	SOD1	Stress Response Genes
158	SOD2	Stress Response Genes
159	MX1	Stress Response Genes
160	NQO1	Stress Response Genes
161	PLA2	Stress Response Genes
162	SELS	Stress Response Genes
163	Human Gene Name	
164	ABCA1	Cell Surface Receptor
165	ABCC6	Cell Surface Receptor
166	ADORA1	Cell Surface Receptor
167	ADORA2A	Cell Surface Receptor
168	ADAM19	Cell Surface Receptor
169	SCNN1A	Cell Surface Receptor
170	ADRA2B	Cell Surface Receptor
171	BDKRB1	Cell Surface Receptor
172	FCER2/CD23	Cell Surface Receptor
173	C69	Cell Surface Receptor
174	OPRD1	Cell Surface Receptor
175	EGFR	Cell Surface Receptor
176	ERBB2	Cell Surface Receptor
177	KISS1	Cell Surface Receptor
178	OLR1	Cell Surface Receptor
179	KLRA1	Cell Surface Receptor
180	ABCB4	Cell Surface Receptor
181	OPRM1	Cell Surface Receptor
182	GRM2	Cell Surface Receptor
183	NPY1R	Cell Surface Receptor
184	GRIN2A	Cell Surface Receptor
185	GRIN1	Cell Surface Receptor
186	OXTR	Cell Surface Receptor
187	PTAFR	Cell Surface Receptor
188	ABCB1	Cell Surface Receptor
189	AGER	Cell Surface Receptor
190	Human Gene Name	
191	PYCARD	Apoptosis regulator
192	BAX	Apoptosis regulator
193	BCL2A1	Apoptosis regulator
194	BCL2L1	Apoptosis regulator
195	BCL2	Apoptosis regulator
196	BCL2L11	Apoptosis regulator
197	CD274	Apoptosis regulator
198	BNIP3	Apoptosis regulator
199	CASP4	Apoptosis regulator
200		Apoptosis regulator
201	CFLAR	Apoptosis regulator
202	FAS	Apoptosis regulator
203	CIDEA	Apoptosis regulator
204	PTPN13	Apoptosis regulator
205	FASLG	Apoptosis regulator
206		Apoptosis regulator
207	IER3	Apoptosis regulator
208	TRAF1	Apoptosis regulator
209	TRAF2	Apoptosis regulator
210	TIFA	Apoptosis regulator
211	XIAP	Apoptosis regulator
212	Human Gene Name	
213	INHBA	Growth factor, ligand
214	ANGPT1	Growth factor, ligand
215	PI3KAP1	Growth factor, ligand
216	BDNF	Growth factor, ligand
217	TNFSF13B	Growth factor, ligand
218	BLNK	Growth factor, ligand
219	BMP2	Growth factor, ligand
220	BMP4	Growth factor, ligand
221	CALCB	Growth factor, ligand
222	FGF8	Growth factor, ligand
223	FSTL3	Growth factor, ligand
224	CSF3	Growth factor, ligand
225	CSF2	Growth factor, ligand
226	HGF	Growth factor, ligand
227	EPO	Growth factor, ligand
228	IGFBP1	Growth factor, ligand
229	IGFBP2	Growth factor, ligand
230	CSF1	Growth factor, ligand
231	MDK	Growth factor, ligand
232	NGFB	Growth factor, ligand
233	TACR1	Growth factor, ligand
234	NK4	Growth factor, ligand
