EntrezID	Symbol	Category	Direction
383	ARG1	Inflammopathic	Up
3934	LCN2	Inflammopathic	Up
4057	LTF	Inflammopathic	Up
10562	OLFM4	Inflammopathic	Up
3109	HLA-DMB	Inflammopathic	Down
7180	CRISP2	Coagulopathic	Up
5654	HTRA1	Coagulopathic	Up
27345	KCNMB4	Coagulopathic	Up
5493	PPL	Coagulopathic	Up
1656	DDX6	Coagulopathic	Down
113878	DTX2	Coagulopathic	Down
2889	RAPGEF1	Coagulopathic	Down
5971	RELB	Coagulopathic	Down
79651	RHBDF2	Coagulopathic	Down
205564	SENP5	Coagulopathic	Down
10652	YKT6	Coagulopathic	Down
29063	ZCCHC4	Coagulopathic	Down
10385	BTN2A2	Adaptive	Up
814	CAMK4	Adaptive	Up
10818	FRS2	Adaptive	Up
5142	PDE4B	Adaptive	Up
51177	PLEKHO1	Adaptive	Up
5698	PSMB9	Adaptive	Up
10723	SLC12A7	Adaptive	Up
79751	SLC25A22	Adaptive	Up
55266	TMEM19	Adaptive	Up
7158	TP53BP1	Adaptive	Up
221830	TWISTNB	Adaptive	Up
10652	YKT6	Adaptive	Up
10009	ZBTB33	Adaptive	Up
100133941	CD24	Adaptive	Down
1647	GADD45A	Adaptive	Down
6283	S100A12	Adaptive	Down
6804	STX1A	Adaptive	Down
