EntrezID	Symbol	Mars1	Mars2	Mars3	Mars4
150000	ABCC13	3.178	0.15	0.872	1.014
91	ACVR1B	0.839	1.68	0.732	1.186
79026	AHNAK	-2.002	-2.214	-0.88	-2.381
8542	APOL1	-0.537	-0.676	-0.089	1.347
23780	APOL2	-1.156	-0.952	-0.245	1.343
80830	APOL6	-0.343	-0.421	-0.018	1.677
665	BNIP3L	0.921	-0.568	-0.049	-0.067
669	BPGM	4.116	0.686	1.302	1.756
441108	C5orf56	-0.319	-1.143	-0.445	0.505
759	CA1	4.823	1.343	2.178	2.282
10498	CARM1	0.683	-1.229	-0.049	-0.419
80127	CCDC176	3.253	0.013	0.599	0.67
966	CD59	2.131	2.897	1.287	2.912
972	CD74	-2.521	-2.578	-1.49	-1.893
3732	CD82	0.542	1.503	0.627	0.877
51816	CECR1	-2.596	-2.563	-0.981	-2.125
338339	CLEC4D	4.658	5.645	3.209	4.976
129607	CMPK2	0.189	-0.757	-0.378	2.923
8727	CTNNAL1	1.833	0.386	0.41	0.623
51076	CUTC	0.475	1.372	0.452	0.823
1602	DACH1	1.354	2.816	1.184	1.731
25853	DCAF12	1.327	-0.777	-0.037	-0.094
54165	DCUN1D1	2.646	0.673	0.812	1.131
23586	DDX58	-0.906	-0.54	-0.163	2.043
55601	DDX60	-1.504	-1.154	-1.053	2.305
91351	DDX60L	0.408	0.913	0.507	1.935
8525	DGKZ	-1.547	-1.425	-0.593	-1.325
10170	DHRS9	2.13	3.057	0.832	3.027
29952	DPP7	-1.448	-1.339	-0.584	-1.526
151636	DTX3L	-0.693	-0.372	-0.053	1.2
57089	ENTPD7	1.371	2.947	0.677	1.48
94240	EPSTI1	-1.089	-1.424	-0.112	3.291
23344	ESYT1	-2.748	-2.465	-1.527	-2.711
84923	FAM104A	1.444	-0.626	0.055	0.061
81558	FAM117A	0.805	-0.994	-0.334	-0.227
54855	FAM46C	2.799	-0.648	0.518	0.383
26270	FBXO6	0.302	0.901	0.547	2.56
25793	FBXO7	0.793	-1.159	-0.326	-0.421
26190	FBXW2	0.368	1.357	0.29	0.228
2235	FECH	3.057	-0.364	0.597	0.585
26127	FGFR1OP2	2.425	0.327	0.546	0.799
2534	FYN	-2.106	-2.209	-1.19	-2.041
1647	GADD45A	3.989	4.528	2.439	3.706
2590	GALNT2	0.639	2.278	0.593	1.155
2633	GBP1	-1.48	-1.436	-0.612	2.169
115362	GBP5	-2.11	-2.174	-1.312	1.592
2730	GCLM	1.842	2.295	0.942	2.004
170575	GIMAP1	-2.169	-2.385	-1.289	-1.988
51218	GLRX5	2.228	-0.336	0.552	0.392
29997	GLTSCR2	-1.761	-1.853	-0.996	-2.192
2766	GMPR	2.047	-0.752	0.457	0.212
2776	GNAQ	0.733	1.494	0.656	0.901
2935	GSPT1	1.635	-1.06	0.004	-0.279
2993	GYPA	3.601	0.375	0.976	1.285
3029	HAGH	0.822	-0.827	-0.113	-0.225
51191	HERC5	-1.084	-1.262	-0.499	2.459
3101	HK3	2.119	3.28	1.908	2.473
3108	HLA-DMA	-2.773	-2.731	-1.298	-2.183
3115	HLA-DPB1	-3.032	-3.244	-1.779	-2.691
3123	HLA-DRB1	-2.853	-2.776	-1.416	-2.234
84329	HVCN1	-2.77	-2.706	-1.341	-2.503
3422	IDI1	2.333	3.4	1.011	2.983
3430	IFI35	-0.314	0.381	0.165	1.928
10561	IFI44	0.216	0.116	0.364	4.317
10964	IFI44L	-0.339	-0.471	0.121	3.906
64135	IFIH1	-1.816	-1.6	-0.823	1.545
3433	IFIT2	-2.447	-2.477	-1.11	1.615
3437	IFIT3	-1.755	-2.189	-0.545	2.509
24138	IFIT5	-0.408	-0.371	-0.086	2.503
3665	IRF7	-0.292	0.088	0.387	2.073
81689	ISCA1	3.21	0.673	1.021	1.089
3840	KPNA4	0.696	1.365	0.01	1.093
8825	LIN7A	1.759	2.892	1.698	2.046
9404	LPXN	-2.067	-1.717	-0.971	-1.909
4043	LRPAP1	0.553	1.666	0.862	1.047
22919	MAPRE1	0.419	1.462	0.307	0.8
51108	METTL9	2.178	2.541	1.472	1.936
56947	MFF	0.7	1.756	0.644	1.137
23608	MKRN1	1.519	-0.247	0.296	0.256
4317	MMP8	4.58	5.869	2.021	3.794
4354	MPP1	1.615	0.375	0.579	0.536
4482	MSRA	0.721	1.894	0.713	0.714
4601	MXI1	2.832	0.594	0.957	1.118
8031	NCOA4	0.605	-0.868	-0.256	-0.528
4734	NEDD4	0.789	1.351	0.287	0.791
58484	NLRC4	2.037	3.346	1.876	2.309
10133	OPTN	0.861	-1.36	-0.331	-0.337
54625	PARP14	-1.997	-1.759	-0.627	0.879
83666	PARP9	0.068	0.664	0.494	2.102
84333	PCGF5	0.465	-1.639	-0.56	-0.385
5130	PCYT1A	0.701	1.991	0.627	1.18
11235	PDCD10	2.396	2.187	1.149	2.165
5208	PFKFB2	4.007	5.206	2.09	4.171
5226	PGD	1.48	2.746	1.662	1.931
55276	PGM2	0.496	1.401	0.43	0.523
162466	PHOSPHO1	0.348	-1.661	-0.39	-0.57
5305	PIP4K2A	1.738	-0.429	0.204	-0.004
51177	PLEKHO1	-1.693	-1.73	-0.538	-1.194
5494	PPM1A	1.47	0.097	0.396	0.547
84932	RAB2B	1.95	-0.191	0.378	0.443
5900	RALGDS	-0.457	-1.706	-0.724	-1.089
57610	RANBP10	1.407	-0.589	-0.003	-0.17
5980	REV3L	-1.456	-1.051	-0.324	-1.035
83547	RILP	1.117	-0.769	0.254	0.205
8780	RIOK3	2.546	0.697	0.657	0.993
9604	RNF14	1.64	-0.121	0.008	0.178
57674	RNF213	-0.929	-0.49	-0.113	1.047
64108	RTP4	-0.721	-0.71	-0.267	2.411
219285	SAMD9L	-0.372	0.099	0.173	2.552
7095	SEC62	2.137	1.821	0.761	1.482
10801	SEPT9	-2.363	-1.845	-1.241	-2.209
710	SERPING1	-0.215	-0.523	0.174	3.312
143686	SESN3	2.63	-0.201	0.688	0.853
54557	SGTB	0.812	1.932	0.728	1.082
6563	SLC14A1	2.638	0.012	0.55	0.515
54977	SLC25A38	0.001	-1.495	-0.611	-1.044
51629	SLC25A39	0.454	-1.304	-0.281	-0.457
6521	SLC4A1	1.985	-1.139	0.177	-0.161
6710	SPTB	2.596	-0.115	0.764	0.538
27090	ST6GALNAC4	1.016	-1.373	0.014	-0.343
6772	STAT1	-1.35	-1.127	-0.836	1.189
2040	STOM	3.277	3.564	1.7	3.039
6890	TAP1	-1.016	-0.572	-0.225	0.995
6891	TAP2	-1.604	-1.289	-0.478	0.723
23424	TDRD7	-0.051	0.769	0.214	1.716
10346	TRIM22	-0.212	0.261	-0.102	2.135
51605	TRMT6	0.316	1.496	0.122	0.397
54952	TRNAU1AP	0.186	1.464	0.444	0.591
7227	TRPS1	0.474	1.583	0.461	0.82
706	TSPO	1.222	2.022	1.248	1.147
140739	UBE2F	1.938	1.556	0.772	1.653
7328	UBE2H	1.948	1.356	0.268	1.032
9246	UBE2L6	-1.411	-1.532	-0.576	0.885
29761	USP25	-0.862	-0.278	-0.349	0.6
10490	VTI1B	1.328	-0.031	0.315	0.198
54739	XAF1	-0.575	-0.625	-0.221	2.389
7504	XK	4.247	1.001	1.795	2.206
22803	XRN2	-0.443	0.623	-0.054	0.013
678	ZFP36L2	-2.406	-2.218	-0.929	-2.128
