EntrezID	Symbol
5573	PRKAR1A
5286	PIK3C2A
8850	KAT2B
7046	TGFBR1
5062	PAK2
6654	SOS1
5452	POU2F2
2778	GNAS
4215	MAP3K3
4214	MAP3K1
817	CAMK2D
5594	MAPK1
51616	TAF9B
27071	DAPP1
10451	VAV3
2534	FYN
10499	NCOA2
818	CAMK2G
7535	ZAP70
2033	EP300
5728	PTEN
259197	NCR3
9103	FCGR2C
4772	NFATC1
919	CD247
5579	PRKCB1
2710	GK
5788	PTPRC
6885	MAP3K7
9586	CREB5
3717	JAK2
916	CD3E
5289	PIK3C3
4217	MAP3K5
2212	FCGR2A
6416	MAP2K4
604	BCL6
5335	PLCG1
4067	LYN
3635	INPP5D
4089	SMAD4
9448	MAP4K4
6882	TAF11
5894	RAF1
