Symbol	SRS1	SRS2	deStatus
A2LD1	3.66	4.47	Yes
AARS	8.11	8.81	Yes
AARS2	4.79	5.81	Yes
AARSD1	5.8	6.48	Yes
ABCA13	4.15	4.93	Yes
ABCB7	6.4	7.04	Yes
ABCB9	5.3	5.97	Yes
ABCE1	4.75	6.32	Yes
ABCE1	5.29	6.8	Yes
ABCF1	8.46	9.12	Yes
ABCF1	6.58	7.44	Yes
ABCF2	4.62	5.54	Yes
ABCG1	7.59	8.53	Yes
ABCG1	5.45	6.41	Yes
ABHD10	6.01	6.76	Yes
ABHD14A	4.15	5.69	Yes
ABHD14B	4.01	5.39	Yes
ABHD15	4.68	5.48	Yes
ABHD2	8.23	7.52	Yes
ABHD2	7.43	6.66	Yes
ABI3	5.58	6.6	Yes
ABLIM1	7.5	8.79	Yes
ABLIM1	5.6	6.5	Yes
ABLIM3	5.66	6.34	Yes
ACACA	5.15	5.89	Yes
ACACB	4.25	5.16	Yes
ACAD11	5.68	6.87	Yes
ACCS	5.87	6.78	Yes
ACER3	7.04	5.86	Yes
ACN9	8.46	7.37	Yes
ACN9	8.9	7.98	Yes
ACOT7	7.04	7.64	Yes
ACP1	6.78	7.7	Yes
ACP5	4.39	5.6	Yes
ACPL2	7.52	6.86	Yes
ACSF2	3.88	4.65	Yes
ACSL1	12.38	11.73	Yes
ACSL4	6.55	5.66	Yes
ACSL4	10.36	9.52	Yes
ACSS1	6.75	7.45	Yes
ACTR1B	6.78	7.57	Yes
ACTR5	4.18	5.25	Yes
ACVR1	7.28	7.88	Yes
ACVR1B	9.6	8.65	Yes
ACVR2A	3.92	4.59	Yes
ACYP1	5.84	6.87	Yes
ACYP2	4.6	5.28	Yes
ADA	5.66	7.13	Yes
ADAM10	8.22	7.61	Yes
ADAM9	6.11	5.21	Yes
ADARB1	6.81	7.87	Yes
ADARB1	4.13	4.96	Yes
ADCK2	5.58	6.75	Yes
ADCK4	7.83	7.12	Yes
ADCK5	3.91	4.66	Yes
ADCY3	9.69	8.77	Yes
ADD3	9.83	9.11	Yes
ADHFE1	5.65	6.66	Yes
ADK	6.6	7.3	Yes
ADM	13.19	12.57	Yes
ADO	6.78	7.45	Yes
ADORA2A	8.9	8.29	Yes
ADORA3	8.06	6.74	Yes
AES	8.86	9.76	Yes
AES	6.57	7.72	Yes
AFAP1L2	4.32	5.17	Yes
AFF3	2.92	3.74	Yes
AFG3L1	5.83	6.5	Yes
AFG3L2	6.71	7.75	Yes
AGAP6	5.97	6.8	Yes
AGAP8	7.42	8.51	Yes
AGFG1	5.94	5.11	Yes
AGFG1	7.38	6.74	Yes
AGK	5.5	6.23	Yes
AGMAT	3.01	3.75	Yes
AGPAT5	3.34	4.23	Yes
AGTPBP1	11.44	10.53	Yes
AGTRAP	9.98	9.35	Yes
AGTRAP	10.11	9.37	Yes
AGXT2L2	6.6	5.99	Yes
AHNAK	8.74	10.24	Yes
AHNAK	3.36	4.37	Yes
AHNAK	5.06	5.8	Yes
AHSP	8.65	9.81	Yes
AIG1	6.25	5.5	Yes
AIM2	10.77	10	Yes
AIMP2	7.36	8.01	Yes
AKAP11	5.49	6.6	Yes
AKAP11	5.98	6.58	Yes
AKAP7	6.05	6.76	Yes
AKR1A1	8.2	8.9	Yes
AKR1A1	8.2	8.85	Yes
AKR1B1	7.78	8.66	Yes
AKR7A2	8.49	9.19	Yes
ALAS2	5.09	6.23	Yes
ALAS2	11.15	12.05	Yes
ALDH18A1	3.82	5.15	Yes
ALDH1A1	3.96	4.95	Yes
ALDH1A1	6.59	7.21	Yes
ALDH3A2	6.99	7.62	Yes
ALDH3B1	8.92	8.17	Yes
ALDH5A1	5.17	5.92	Yes
ALDOA	11.76	11.09	Yes
ALG10B	4.73	5.32	Yes
ALG3	6.73	7.33	Yes
ALG5	6.38	7.11	Yes
ALG8	6.41	7.06	Yes
ALG8	4.74	5.89	Yes
ALKBH3	5.08	6.14	Yes
ALKBH8	3.13	4.38	Yes
ALPL	14.29	13.46	Yes
AMPD3	5.98	5.18	Yes
AMPH	5.8	5.04	Yes
ANAPC1	5.82	6.79	Yes
ANGEL1	5.24	5.87	Yes
ANK1	4.36	4.96	Yes
ANKMY2	5.32	6.04	Yes
ANKRD22	9.88	8.09	Yes
ANKRD22	10.26	8.68	Yes
ANKRD34B	7.32	5.69	Yes
ANKRD36	3	4.04	Yes
ANKRD36B	5.43	6.05	Yes
ANKRD46	4.79	6.03	Yes
ANKRD55	8.23	6.97	Yes
ANKRD57	4.28	5.17	Yes
ANKS1A	9.9	8.74	Yes
ANO10	7.02	6.38	Yes
ANO9	2.63	3.64	Yes
ANO9	4.64	5.46	Yes
ANXA1	12.88	12.25	Yes
ANXA3	11.18	10.02	Yes
AOF2	6.2	7.36	Yes
AP3B2	6.83	4.64	Yes
AP3M2	5.28	6.55	Yes
AP3S2	6.77	6.01	Yes
APCDD1	5.8	5.02	Yes
APEX1	8.29	9.18	Yes
APEX1	7.58	8.32	Yes
APOA1BP	6.35	7.4	Yes
APOBEC3D	5.95	6.71	Yes
APOL3	6.89	7.88	Yes
APRT	7.53	8.36	Yes
APRT	6.23	7.43	Yes
AQP12A	4.39	3.62	Yes
AQP12B	5.09	5.7	Yes
AQP3	2.99	3.58	Yes
ARG1	11.89	10.34	Yes
ARHGAP10	3.71	4.63	Yes
ARHGAP21	8.47	9.08	Yes
ARHGAP24	8.23	7.51	Yes
ARHGAP24	5.21	4.49	Yes
ARHGAP24	7.38	6.72	Yes
ARID5A	6.96	6.09	Yes
ARID5A	5.33	4.68	Yes
ARID5A	4.85	4.08	Yes
ARL1	5.5	6.15	Yes
ARL2	7.98	8.59	Yes
ARL4C	3.72	5.04	Yes
ARL5A	10.69	11.37	Yes
ARL5A	7.37	8.09	Yes
ARL6IP6	9.51	8.84	Yes
ARMC1	6.82	7.51	Yes
ARPC1B	11.49	10.89	Yes
ARRB1	6.34	7.52	Yes
ARRB1	6.9	7.55	Yes
ARRB2	10.02	9.39	Yes
ARRDC2	6.86	7.45	Yes
ARRDC4	7.23	6.57	Yes
ASAH1	8.85	8.22	Yes
ASB13	3.31	4.32	Yes
ASF1A	6.17	6.82	Yes
ASGR1	8.9	10.07	Yes
ASPH	5.98	5.28	Yes
ASPH	4.73	3.75	Yes
ASPRV1	6.5	7.55	Yes
ASPSCR1	7.3	8.28	Yes
ATF5	6.09	7	Yes
ATF6	9.97	9.21	Yes
ATF7IP2	3.99	4.95	Yes
ATIC	7.88	8.78	Yes
ATL3	8.36	7.6	Yes
ATP11B	8.73	7.75	Yes
ATP11B	8.42	7.6	Yes
ATP5D	4.93	5.59	Yes
ATP5G1	7.7	8.49	Yes
ATP5G1	6.48	5.3	Yes
ATP6V0E2	6.46	7.72	Yes
ATP6V1C1	9.11	8.14	Yes
ATP6V1C1	3.71	3.06	Yes
ATP8B2	6.14	7.82	Yes
ATP9A	10.45	9.06	Yes
ATPGD1	3.82	4.78	Yes
ATXN7L2	3.93	4.72	Yes
AUTS2	5.43	6.31	Yes
AXIN2	5.39	6	Yes
AZI1	5.2	6.03	Yes
AZI2	8.64	7.74	Yes
AZU1	6.83	7.53	Yes
B3GALTL	3.13	3.73	Yes
B3GNT1	4.16	5.06	Yes
B3GNT2	7.58	6.56	Yes
B3GNT8	8.76	7.88	Yes
B4GALT4	8.69	7.9	Yes
B4GALT4	5.15	4.28	Yes
B4GALT5	12.56	11.89	Yes
B4GALT7	6.37	7.08	Yes
BACE2	2.98	3.66	Yes
BACH2	3.36	4.61	Yes
BAG3	4.49	5.81	Yes
BATF	8.69	7.9	Yes
BAZ1A	10.12	9.24	Yes
BAZ1A	11.2	10.51	Yes
BBS9	5.48	4.9	Yes
BCAS4	5.51	6.28	Yes
BCAS4	5.61	6.31	Yes
BCAT1	7.95	7.34	Yes
BCAT2	5.4	6.1	Yes
BCL11A	5.79	7.11	Yes
BCL11A	7.38	8.27	Yes
BCL11B	5.88	7.91	Yes
BCL2	6.94	8.16	Yes
BCL2	6.37	7.52	Yes
BCL2A1	6.78	5.96	Yes
BCL6	6.67	5.79	Yes
BCOR	6.54	7.35	Yes
BCOR	3.66	4.55	Yes
BCS1L	4.14	5.17	Yes
BEND5	4.25	5.05	Yes
BEX2	5.64	6.7	Yes
BEX4	5.64	6.32	Yes
BIK	4.56	3.97	Yes
BIN1	7.76	8.57	Yes
BIN1	7.71	8.43	Yes
BIRC3	8.2	9.23	Yes
BIVM	4.93	5.65	Yes
BLK	3.79	4.79	Yes
BLMH	5.69	6.32	Yes
BLOC1S1	11.08	10.32	Yes
BMF	4.06	5.52	Yes
BMI1	7.66	8.3	Yes
BMP6	6.15	7	Yes
BMS1	6.58	7.74	Yes
BMX	8.88	7.37	Yes
BMX	6.88	5.59	Yes
BNIP1	3.06	3.69	Yes
BNIP2	11.01	10.32	Yes
BOLA3	7.24	7.92	Yes
BOP1	6.03	7.21	Yes
BPHL	3.97	4.81	Yes
BRF1	3.66	4.32	Yes
BRIX1	6.87	7.8	Yes
BRIX1	4.49	5.79	Yes
BRWD1	5.45	6.26	Yes
BST1	9.55	8.55	Yes
BTBD11	4.74	6.24	Yes
BTLA	4.59	5.99	Yes
BTLA	5.53	6.18	Yes
BTN2A2	3.83	4.58	Yes
BTN3A1	7.85	8.82	Yes
BTN3A2	8.32	9.21	Yes
BTN3A3	5.96	7.29	Yes
BYSL	3.29	4.15	Yes
BZW2	6.16	7.24	Yes
C10orf105	7.18	8.21	Yes
C10orf2	4.26	5.01	Yes
C10orf33	4.5	5.85	Yes
C10orf61	3.17	3.81	Yes
C10orf88	3.22	3.86	Yes
C11orf1	5	6.43	Yes
C11orf17	6.48	7.22	Yes
C11orf17	4.4	5.46	Yes
C11orf46	5.92	7.15	Yes
C11orf80	2.95	3.81	Yes
C11orf82	8.15	7.36	Yes
C12orf29	5.2	6.27	Yes
C12orf43	4.17	5.09	Yes
C12orf47	8.42	9.06	Yes
C12orf52	5.38	6.12	Yes
C12orf57	8.03	9.12	Yes
C12orf65	5.23	6.33	Yes
C13orf15	8.88	9.87	Yes
C14orf101	6.33	5.62	Yes
C14orf104	3.48	4.36	Yes
C14orf124	3.68	4.32	Yes
C14orf147	7.55	6.97	Yes
C14orf159	9.14	10.16	Yes
C14orf167	5.68	6.62	Yes
C14orf169	5.19	6.28	Yes
C14orf173	8.43	9.3	Yes
C14orf80	4.83	5.62	Yes
C15orf52	6.43	7.08	Yes
C16orf30	4.02	5.67	Yes
C16orf33	6.78	7.39	Yes
C16orf35	7.32	8.22	Yes
C16orf56	6.92	7.52	Yes
C16orf57	11.47	10.69	Yes
C16orf58	7.01	8.16	Yes
C16orf7	9.66	9.01	Yes
C16orf70	6.06	5.39	Yes
C17orf60	8.2	7.41	Yes
C17orf70	7.64	8.54	Yes
C18orf55	6.89	7.69	Yes
C19orf12	6.91	7.65	Yes
C19orf2	8.1	9.17	Yes
C19orf2	5.62	6.46	Yes
C19orf35	6.34	5.49	Yes
C19orf38	7.74	6.92	Yes
C19orf48	4.33	5.68	Yes
C19orf59	13.74	12.11	Yes
C19orf60	8.03	8.73	Yes
C19orf70	7.83	8.63	Yes
C1GALT1C1	9.86	9.22	Yes
C1GALT1C1	7.19	6.56	Yes
C1orf109	3.88	4.52	Yes
C1orf149	4.22	4.89	Yes
C1orf151	5.08	5.68	Yes
C1orf152	3.14	4.14	Yes
C1orf162	13.34	12.44	Yes
C1orf19	6.11	6.96	Yes
C1orf198	5.81	6.43	Yes
C1QB	6.51	5.88	Yes
C1QBP	8	8.68	Yes
C20orf103	3.54	4.31	Yes
C20orf117	3.57	4.59	Yes
C20orf177	10.5	9.68	Yes
C20orf24	12.65	12.02	Yes
C20orf27	7.23	7.89	Yes
C20orf3	11.31	10.7	Yes
C21orf2	5.4	6.38	Yes
C21orf33	5.04	5.68	Yes
C21orf33	5.38	6.03	Yes
C21orf59	6.65	7.39	Yes
C21orf7	9.33	10.13	Yes
C21orf81	4.5	5.18	Yes
C22orf32	4.03	5.14	Yes
C22orf9	7.25	6.44	Yes
C2CD2	5.58	6.24	Yes
C2CD2L	3.67	4.41	Yes
C2orf25	10.88	10.1	Yes
C2orf25	11.1	10.32	Yes
C2orf34	3.87	4.62	Yes
C2orf44	5.29	6.44	Yes
C2orf56	8.43	7.77	Yes
C2orf58	5.12	4.2	Yes
C2orf89	4.92	6.47	Yes
C3AR1	9.26	8.43	Yes
C3orf21	6.14	6.73	Yes
C3orf23	5.78	5.17	Yes
C3orf31	4.26	5.5	Yes
C3orf54	5.82	6.48	Yes
C3orf59	4.12	4.96	Yes
C3orf75	5.21	5.8	Yes
C4BPA	5.64	4.89	Yes
C4orf18	7.36	7.98	Yes
C5orf13	6.15	6.77	Yes
C5orf21	9.03	8.44	Yes
C5orf30	7.76	7.08	Yes
C5orf32	11.93	10.23	Yes
C5orf34	6.01	5.41	Yes
C5orf53	4.79	5.79	Yes
C6orf105	3.07	4.16	Yes
C6orf106	5.81	6.41	Yes
C6orf108	4.83	6.21	Yes
C6orf125	5.57	6.63	Yes
C6orf150	6.37	5.31	Yes
C6orf190	3.56	5.66	Yes
C6orf192	5.97	7.05	Yes
C6orf48	9.9	10.57	Yes
C6orf81	5.65	5.05	Yes
C7orf23	8.2	8.86	Yes
C7orf40	6.62	7.58	Yes
C7orf54	4.8	5.98	Yes
C8orf33	5.42	6.34	Yes
C8orf55	5.56	6.81	Yes
C8orf73	4.86	4.25	Yes
C9orf103	9.56	7.83	Yes
C9orf114	5.88	6.97	Yes
C9orf123	4.1	5.45	Yes
C9orf127	3.06	4.29	Yes
C9orf142	8.08	8.78	Yes
C9orf45	3.33	4.47	Yes
C9orf46	9.24	8.56	Yes
C9orf5	6.46	7.15	Yes
C9orf72	6.98	6.35	Yes
C9orf91	3.81	5.27	Yes
CA1	7.99	8.73	Yes
CA4	11.71	10.38	Yes
CA5B	5.38	6.21	Yes
CAB39	13.19	12.6	Yes
CACNA1E	7.19	6.11	Yes
CACNA1I	5.14	6.03	Yes
CACNA2D3	3.4	4.39	Yes
CACNB3	3.24	4.03	Yes
CACNG6	3.51	4.37	Yes
CADM4	3.29	4.05	Yes
CAMK1	5.83	6.69	Yes
CAMK2D	2.8	3.69	Yes
CAMP	10.55	11.49	Yes
CAPG	7.58	6.74	Yes
CAPN12	3.55	4.28	Yes
CAPN13	4.8	3.97	Yes
CAPN3	7.6	6.92	Yes
CAPN3	6.22	5.34	Yes
CARD11	6.36	7.22	Yes
CARD14	5.76	6.38	Yes
CARD6	6.57	5.66	Yes
CARD9	7.72	8.51	Yes
CARM1	8.55	9.21	Yes
CASC4	8.24	7.63	Yes
